Match_ID,Country,Season,Div,League,Date,Time,Round,Home,Away,Home_Score,Away_Score,Min_Goals_Home,Min_Goals_Away,Bookie_1X2_HT,Odd_1_HT,Odd_X_HT,Odd_2_HT,Bookie_1X2_FT,Odd_1_FT,Odd_X_FT,Odd_2_FT,Bookie_OU_HT_0_5,Over_HT_0_5,Under_HT_0_5,Bookie_OU_HT_1_5,Over_HT_1_5,Under_HT_1_5,Bookie_OU_HT_2_5,Over_HT_2_5,Under_HT_2_5,Bookie_OU_FT_0_5,Over_FT_0_5,Under_FT_0_5,Bookie_OU_FT_1_5,Over_FT_1_5,Under_FT_1_5,Bookie_OU_FT_2_5,Over_FT_2_5,Under_FT_2_5,Bookie_OU_FT_3_5,Over_FT_3_5,Under_FT_3_5,Bookie_OU_FT_4_5,Over_FT_4_5,Under_FT_4_5,Bookie_BTTS,BTTS_Yes,BTTS_No,Bookie_DC,DC_1X,DC_12,DC_X2,Bookie_CS_0_0,CS_0_0,Bookie_CS_0_1,CS_0_1,Bookie_CS_0_2,CS_0_2,Bookie_CS_0_3,CS_0_3,Bookie_CS_1_0,CS_1_0,Bookie_CS_1_1,CS_1_1,Bookie_CS_1_2,CS_1_2,Bookie_CS_1_3,CS_1_3,Bookie_CS_2_0,CS_2_0,Bookie_CS_2_1,CS_2_1,Bookie_CS_2_2,CS_2_2,Bookie_CS_2_3,CS_2_3,Bookie_CS_3_0,CS_3_0,Bookie_CS_3_1,CS_3_1,Bookie_CS_3_2,CS_3_2,Bookie_CS_3_3,CS_3_3,Bookie_AH_neg_2_5,AH_Home_neg_2_5,AH_Away_neg_2_5,Bookie_AH_neg_2,AH_Home_neg_2,AH_Away_neg_2,Bookie_AH_neg_1_5,AH_Home_neg_1_5,AH_Away_neg_1_5,Bookie_AH_neg_1,AH_Home_neg_1,AH_Away_neg_1,Bookie_AH_neg_0_5,AH_Home_neg_0_5,AH_Away_neg_0_5,Bookie_AH_pos_0_5,AH_Home_pos_0_5,AH_Away_pos_0_5,Bookie_AH_pos_1,AH_Home_pos_1,AH_Away_pos_1,Bookie_AH_pos_1_5,AH_Home_pos_1_5,AH_Away_pos_1_5,Bookie_AH_pos_2,AH_Home_pos_2,AH_Away_pos_2,Bookie_AH_pos_2_5,AH_Home_pos_2_5,AH_Away_pos_2_5,Bookie_EH_neg_3,EH_Home_neg_3,EH_Draw_neg_3,EH_Away_neg_3,Bookie_EH_neg_2,EH_Home_neg_2,EH_Draw_neg_2,EH_Away_neg_2,Bookie_EH_neg_1,EH_Home_neg_1,EH_Draw_neg_1,EH_Away_neg_1,Bookie_EH_1,EH_Home_1,EH_Draw_1,EH_Away_1,Bookie_EH_2,EH_Home_2,EH_Draw_2,EH_Away_2,Bookie_EH_3,EH_Home_3,EH_Draw_3,EH_Away_3,xG_Home_FT,xG_Away_FT,xGOT_Home_FT,xGOT_Away_FT,xA_Home_FT,xA_Away_FT,xGOT_Faced_Home_FT,xGOT_Faced_Away_FT,Goals_Prevented_Home_FT,Goals_Prevented_Away_FT,Possession_Home_FT,Possession_Away_FT,Passes_Pct_Home_FT,Passes_Pct_Away_FT,Long_Passes_Pct_Home_FT,Long_Passes_Pct_Away_FT,Passes_Final_Third_Pct_Home_FT,Passes_Final_Third_Pct_Away_FT,Through_Passes_Home_FT,Through_Passes_Away_FT,Crosses_Pct_Home_FT,Crosses_Pct_Away_FT,Total_Shots_Home_FT,Total_Shots_Away_FT,Shots_On_Target_Home_FT,Shots_On_Target_Away_FT,Shots_Off_Target_Home_FT,Shots_Off_Target_Away_FT,Blocked_Shots_Home_FT,Blocked_Shots_Away_FT,Shots_Inside_Box_Home_FT,Shots_Inside_Box_Away_FT,Shots_Outside_Box_Home_FT,Shots_Outside_Box_Away_FT,Big_Chances_Home_FT,Big_Chances_Away_FT,Hit_Woodwork_Home_FT,Hit_Woodwork_Away_FT,Touches_Box_Home_FT,Touches_Box_Away_FT,Corners_Home_FT,Corners_Away_FT,Free_Kicks_Home_FT,Free_Kicks_Away_FT,Throw_Ins_Home_FT,Throw_Ins_Away_FT,Fouls_Home_FT,Fouls_Away_FT,Yellow_Cards_Home_FT,Yellow_Cards_Away_FT,Red_Cards_Home_FT,Red_Cards_Away_FT,Offsides_Home_FT,Offsides_Away_FT,Goalkeeper_Saves_Home_FT,Goalkeeper_Saves_Away_FT,Tackles_Pct_Home_FT,Tackles_Pct_Away_FT,Duels_Won_Home_FT,Duels_Won_Away_FT,Clearances_Home_FT,Clearances_Away_FT,Interceptions_Home_FT,Interceptions_Away_FT,Errors_Shot_Home_FT,Errors_Shot_Away_FT,Errors_Goal_Home_FT,Errors_Goal_Away_FT,xG_Home_HT,xG_Away_HT,xGOT_Home_HT,xGOT_Away_HT,xA_Home_HT,xA_Away_HT,Possession_Home_HT,Possession_Away_HT,Total_Shots_Home_HT,Total_Shots_Away_HT,Shots_On_Target_Home_HT,Shots_On_Target_Away_HT,Shots_Off_Target_Home_HT,Shots_Off_Target_Away_HT,Big_Chances_Home_HT,Big_Chances_Away_HT,Corners_Home_HT,Corners_Away_HT,Yellow_Cards_Home_HT,Yellow_Cards_Away_HT,Fouls_Home_HT,Fouls_Away_HT,Offsides_Home_HT,Offsides_Away_HT,Goalkeeper_Saves_Home_HT,Goalkeeper_Saves_Away_HT,xG_Home_2T,xG_Away_2T,xGOT_Home_2T,xGOT_Away_2T,xA_Home_2T,xA_Away_2T,Possession_Home_2T,Possession_Away_2T,Total_Shots_Home_2T,Total_Shots_Away_2T,Shots_On_Target_Home_2T,Shots_On_Target_Away_2T,Shots_Off_Target_Home_2T,Shots_Off_Target_Away_2T,Big_Chances_Home_2T,Big_Chances_Away_2T,Corners_Home_2T,Corners_Away_2T,Yellow_Cards_Home_2T,Yellow_Cards_Away_2T,Red_Cards_Home_2T,Red_Cards_Away_2T,Fouls_Home_2T,Fouls_Away_2T,Offsides_Home_2T,Offsides_Away_2T,Goalkeeper_Saves_Home_2T,Goalkeeper_Saves_Away_2T
t4kl8pdt,BRAZIL,2026,Serie A Betano 2026,BRAZIL 1,26/02/2026,19:00,Round 4,Santos,Vasco,2,1,"[25, 61]",[43],bet365,2.63,2.2,4.0,bet365,2.01,3.4,3.75,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.06,10.0,bet365,1.29,3.75,bet365,1.95,1.9,bet365,3.4,1.33,bet365,6.0,1.13,bet365,1.75,2.0,bet365,1.25,1.3,1.73,bet365,10.0,bet365,11.0,bet365,19.0,bet365,41.0,bet365,8.0,bet365,6.5,bet365,13.0,bet365,29.0,bet365,10.0,bet365,9.0,bet365,13.0,bet365,34.0,bet365,19.0,bet365,17.0,bet365,26.0,bet365,41.0,Estrelabet,7.5,1.08,Estrelabet,7.0,1.1,bet365,3.7,1.26,bet365,3.0,1.38,bet365,2.05,1.8,bet365,1.27,3.55,bet365,1.1,7.0,Estrelabet,1.08,7.5,,0.0,0.0,,0.0,0.0,Betano.br,18.5,10.0,1.08,Betano.br,8.5,5.8,1.26,bet365,3.75,4.0,1.73,Betano.br,1.32,5.0,8.25,Betano.br,1.09,9.0,19.5,BetEsporte,1.01,11.0,35.0,0.75,1.36,1.15,0.57,0.51,1.03,0.57,1.15,-0.43,-0.85,0.4,0.6,0.77,0.86,0.33,0.46,0.63,0.78,0.0,1.0,0.27,0.23,8.0,16.0,4.0,2.0,3.0,6.0,1.0,8.0,6.0,8.0,2.0,8.0,2.0,2.0,0.0,0.0,18.0,24.0,5.0,2.0,17.0,19.0,16.0,19.0,19.0,17.0,2.0,1.0,,,2.0,2.0,1.0,2.0,0.54,0.71,60.0,67.0,23.0,15.0,10.0,6.0,1.0,1.0,1.0,1.0,0.31,1.1,0.58,0.57,0.42,0.79,0.48,0.52,5.0,11.0,2.0,2.0,2.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,0.44,0.26,0.57,0.0,0.09,0.24,0.33,0.67,3.0,5.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,,,15.0,14.0,1.0,0.0,0.0,1.0
zoPwpY9j,BRAZIL,2026,Serie A Betano 2026,BRAZIL 1,25/02/2026,21:30,Round 4,Gremio,Atletico-MG,2,1,"[51, 66]",[56],bet365,2.88,2.1,3.75,bet365,2.1,3.3,3.4,bet365,1.4,2.75,bet365,3.0,1.36,bet365,8.0,1.08,bet365,1.07,9.0,bet365,1.33,3.4,bet365,2.05,1.75,bet365,3.75,1.29,bet365,7.0,1.1,bet365,1.8,1.95,bet365,1.33,1.33,1.67,bet365,9.0,bet365,10.0,bet365,17.0,bet365,41.0,bet365,7.5,bet365,6.0,bet365,12.0,bet365,29.0,bet365,10.0,bet365,9.0,bet365,15.0,bet365,41.0,bet365,21.0,bet365,19.0,bet365,29.0,bet365,51.0,Estrelabet,9.0,1.05,1xBet,7.8,1.02,bet365,4.25,1.21,bet365,3.45,1.3,bet365,2.15,1.68,bet365,1.33,3.3,bet365,1.12,6.4,bet365,1.1,7.0,,0.0,0.0,,0.0,0.0,Betano.br,22.0,11.0,1.06,Betano.br,10.5,6.4,1.21,bet365,4.33,4.0,1.67,Betano.br,1.36,4.7,7.7,Betano.br,1.1,8.75,19.0,BetEsporte,1.01,11.0,35.0,0.93,0.41,1.16,0.23,0.99,0.22,0.23,1.16,-0.77,-0.84,0.63,0.37,0.89,0.73,0.62,0.3,0.81,0.63,0.0,0.0,0.11,0.2,18.0,8.0,7.0,2.0,5.0,2.0,6.0,4.0,6.0,2.0,12.0,6.0,1.0,1.0,1.0,0.0,10.0,5.0,6.0,3.0,5.0,14.0,18.0,13.0,14.0,5.0,4.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,0.5,0.47,38.0,51.0,15.0,34.0,13.0,9.0,0.0,0.0,1.0,0.0,0.28,0.09,0.06,0.0,0.22,0.03,0.67,0.33,9.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,7.0,2.0,1.0,0.0,0.0,1.0,0.65,0.32,1.1,0.23,0.77,0.19,0.6,0.4,9.0,6.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,,,7.0,3.0,1.0,0.0,1.0,4.0
065k6OQh,BRAZIL,2026,Serie A Betano 2026,BRAZIL 1,25/02/2026,21:30,Round 4,Palmeiras,Fluminense,2,1,"[9, 13]",[40],bet365,2.25,2.25,5.5,bet365,1.62,3.9,5.0,bet365,1.36,3.0,bet365,2.75,1.4,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.29,3.75,bet365,1.9,1.95,bet365,3.2,1.36,bet365,6.0,1.13,bet365,1.91,1.91,bet365,1.17,1.25,2.15,bet365,11.0,bet365,13.0,bet365,26.0,bet365,51.0,bet365,7.0,bet365,7.0,bet365,17.0,bet365,41.0,bet365,8.0,bet365,8.5,bet365,17.0,bet365,41.0,bet365,13.0,bet365,13.0,bet365,26.0,bet365,51.0,bet365,5.75,1.14,bet365,4.65,1.18,bet365,2.75,1.43,bet365,2.15,1.68,bet365,1.65,2.2,bet365,1.18,4.8,1xBet,1.03,9.5,Superbet.br,1.03,11.0,,0.0,0.0,,0.0,0.0,Betano.br,13.5,8.25,1.13,Betano.br,6.2,4.9,1.4,bet365,2.88,3.6,2.15,Betano.br,1.19,6.2,12.0,Betano.br,1.05,11.25,27.0,BetEsporte,1.01,11.0,40.0,1.59,1.23,1.22,1.0,0.67,1.28,1.0,1.22,0.0,-0.78,0.35,0.65,0.82,0.9,0.56,0.57,0.71,0.86,0.0,0.0,0.27,0.36,14.0,18.0,6.0,7.0,4.0,5.0,4.0,6.0,10.0,10.0,4.0,8.0,1.0,2.0,2.0,1.0,23.0,28.0,5.0,11.0,16.0,16.0,9.0,17.0,16.0,16.0,3.0,4.0,,,3.0,2.0,6.0,5.0,0.77,0.38,51.0,41.0,25.0,17.0,7.0,6.0,0.0,1.0,0.0,0.0,1.14,0.52,1.09,0.59,0.35,0.61,0.31,0.69,7.0,10.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,7.0,1.0,3.0,7.0,9.0,2.0,2.0,3.0,3.0,0.45,0.71,0.13,0.41,0.32,0.67,0.39,0.61,7.0,8.0,2.0,3.0,2.0,3.0,0.0,1.0,4.0,4.0,2.0,1.0,,,9.0,7.0,1.0,0.0,3.0,2.0
Uoc62tQH,BRAZIL,2026,Serie A Betano 2026,BRAZIL 1,25/02/2026,20:00,Round 4,Cruzeiro,Corinthians,1,1,[9],[81],bet365,2.3,2.1,5.5,bet365,1.66,3.5,5.5,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.08,8.0,bet365,1.36,3.2,bet365,2.15,1.67,bet365,4.0,1.25,bet365,8.0,1.08,bet365,2.05,1.7,bet365,1.14,1.29,2.1,bet365,8.0,bet365,12.0,bet365,26.0,bet365,51.0,bet365,6.0,bet365,6.5,bet365,19.0,bet365,41.0,bet365,7.0,bet365,8.5,bet365,19.0,bet365,51.0,bet365,13.0,bet365,15.0,bet365,34.0,bet365,67.0,bet365,6.25,1.12,bet365,5.5,1.15,bet365,3.0,1.38,bet365,2.25,1.63,bet365,1.68,2.15,bet365,1.16,5.25,1xBet,1.03,9.3,Estrelabet,1.03,12.0,,0.0,0.0,,0.0,0.0,Betano.br,15.0,8.5,1.12,Betano.br,6.8,5.0,1.36,bet365,3.0,3.5,2.1,Betano.br,1.18,6.1,14.0,Betano.br,1.04,11.75,32.0,BetEsporte,1.01,11.0,45.0,0.74,0.23,0.64,0.22,0.77,0.47,0.22,0.64,-0.78,-0.36,0.48,0.52,0.81,0.81,0.5,0.63,0.75,0.66,0.0,0.0,0.07,0.26,11.0,4.0,3.0,2.0,4.0,2.0,4.0,0.0,5.0,2.0,6.0,2.0,1.0,0.0,0.0,0.0,22.0,9.0,5.0,3.0,14.0,15.0,21.0,21.0,15.0,14.0,3.0,3.0,1.0,0.0,1.0,3.0,1.0,2.0,0.67,0.79,34.0,44.0,20.0,14.0,11.0,13.0,1.0,0.0,0.0,0.0,0.28,0.03,0.64,0.05,0.19,0.11,0.48,0.52,5.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8.0,7.0,1.0,0.0,1.0,2.0,0.46,0.2,0.0,0.17,0.58,0.36,0.49,0.51,6.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,2.0,2.0,3.0,1.0,0.0,7.0,7.0,0.0,3.0,0.0,0.0
zyMP7y2c,BRAZIL,2026,Serie A Betano 2026,BRAZIL 1,25/02/2026,19:30,Round 4,Coritiba,Sao Paulo,0,1,[],[57],bet365,3.2,2.05,3.6,bet365,2.5,3.1,3.0,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.08,7.5,bet365,1.4,3.0,bet365,2.3,1.6,bet365,4.33,1.22,bet365,9.0,1.07,bet365,1.95,1.8,bet365,1.36,1.36,1.5,bet365,8.0,bet365,8.5,bet365,13.0,bet365,29.0,bet365,7.5,bet365,6.0,bet365,11.0,bet365,26.0,bet365,12.0,bet365,10.0,bet365,15.0,bet365,41.0,bet365,23.0,bet365,21.0,bet365,34.0,bet365,51.0,Estrelabet,12.0,1.03,1xBet,10.0,1.02,bet365,5.5,1.15,bet365,4.25,1.21,bet365,2.42,1.53,bet365,1.4,2.85,bet365,1.15,5.5,Estrelabet,1.12,6.0,1xBet,1.01,11.5,KTO.br,1.01,18.0,Betano.br,28.0,12.5,1.04,Betano.br,14.0,7.1,1.15,bet365,5.5,4.0,1.5,Betano.br,1.4,4.45,7.1,Betano.br,1.11,8.25,17.5,BetEsporte,1.01,11.0,30.0,0.9,1.33,0.03,2.46,0.59,0.56,2.46,0.03,1.46,0.03,0.42,0.58,0.83,0.86,0.53,0.57,0.69,0.72,0.0,0.0,0.35,0.25,18.0,9.0,2.0,5.0,13.0,3.0,3.0,1.0,9.0,7.0,9.0,2.0,2.0,2.0,1.0,0.0,21.0,13.0,3.0,7.0,19.0,5.0,20.0,20.0,5.0,19.0,4.0,3.0,,,0.0,0.0,5.0,2.0,0.91,0.54,44.0,39.0,19.0,14.0,6.0,10.0,1.0,0.0,0.0,0.0,0.58,0.18,0.0,0.21,0.3,0.3,0.37,0.63,10.0,3.0,0.0,1.0,7.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,12.0,0.0,0.0,2.0,0.0,0.32,1.15,0.03,2.25,0.29,0.26,0.46,0.54,8.0,6.0,2.0,4.0,6.0,1.0,0.0,1.0,2.0,5.0,3.0,2.0,,,2.0,7.0,0.0,0.0,3.0,2.0
8W8c42e5,BRAZIL,2026,Serie A Betano 2026,BRAZIL 1,25/02/2026,19:00,Round 4,Bragantino,Athletico-PR,1,1,[44],[79],bet365,2.75,2.1,4.33,bet365,2.01,3.3,3.9,bet365,1.44,2.63,bet365,3.25,1.33,bet365,9.0,1.07,bet365,1.08,8.0,bet365,1.36,3.2,bet365,2.15,1.67,bet365,4.0,1.25,bet365,8.0,1.08,bet365,1.95,1.8,bet365,1.25,1.33,1.73,bet365,8.0,bet365,10.0,bet365,19.0,bet365,41.0,bet365,6.5,bet365,6.0,bet365,13.0,bet365,34.0,bet365,9.0,bet365,9.0,bet365,15.0,bet365,41.0,bet365,17.0,bet365,17.0,bet365,29.0,bet365,51.0,Estrelabet,8.5,1.06,Estrelabet,7.0,1.1,bet365,3.9,1.24,bet365,3.0,1.38,bet365,2.05,1.8,bet365,1.26,3.7,Estrelabet,1.08,7.5,Estrelabet,1.06,8.5,,0.0,0.0,,0.0,0.0,Betano.br,20.0,10.25,1.07,Betano.br,9.25,5.8,1.25,bet365,4.0,3.75,1.73,Betano.br,1.28,5.2,9.5,Betano.br,1.07,9.75,23.0,BetEsporte,1.01,11.0,40.0,0.64,1.0,0.34,1.2,0.34,0.7,1.2,0.34,0.2,-0.66,0.39,0.61,0.72,0.84,0.4,0.45,0.58,0.78,1.0,1.0,0.33,0.26,7.0,18.0,3.0,6.0,3.0,8.0,1.0,4.0,3.0,9.0,4.0,9.0,1.0,4.0,0.0,0.0,12.0,18.0,2.0,7.0,16.0,18.0,15.0,23.0,18.0,16.0,5.0,2.0,2.0,0.0,2.0,2.0,5.0,2.0,0.73,0.64,46.0,40.0,30.0,9.0,8.0,3.0,0.0,0.0,0.0,0.0,0.61,0.36,0.34,0.36,0.3,0.09,0.55,0.45,6.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.0,1.0,3.0,2.0,0.03,0.64,0.0,0.84,0.04,0.61,0.24,0.76,1.0,13.0,0.0,3.0,1.0,7.0,0.0,3.0,0.0,5.0,3.0,0.0,2.0,0.0,12.0,6.0,0.0,1.0,2.0,0.0
4GDt4g1M,BRAZIL,2026,Serie A Betano 2026,BRAZIL 1,25/02/2026,19:00,Round 4,Remo,Internacional,1,1,[14],[4],bet365,3.6,2.25,2.75,bet365,3.25,3.4,2.15,bet365,1.33,3.25,bet365,2.63,1.44,bet365,6.5,1.11,bet365,1.05,11.0,bet365,1.22,4.33,bet365,1.75,2.05,bet365,2.75,1.44,bet365,5.0,1.17,bet365,1.62,2.2,bet365,1.67,1.3,1.33,bet365,12.0,bet365,9.0,bet365,11.0,bet365,21.0,bet365,12.0,bet365,6.5,bet365,9.0,bet365,17.0,bet365,17.0,bet365,12.0,bet365,12.0,bet365,23.0,bet365,34.0,bet365,23.0,bet365,29.0,bet365,41.0,KTO.br,19.0,1.01,SeguroBet,12.6,1.03,bet365,6.8,1.11,bet365,5.9,1.13,bet365,3.1,1.35,bet365,1.7,2.1,bet365,1.35,3.1,bet365,1.24,3.9,bet365,1.1,7.0,Estrelabet,1.06,8.5,,0.0,0.0,0.0,Betano.br,16.5,8.5,1.11,Betano.br,7.2,4.9,1.36,bet365,1.67,4.0,4.0,Betano.br,1.23,6.2,9.5,Betano.br,1.07,10.5,20.0,1.4,1.17,1.33,0.58,0.86,1.73,0.58,1.33,-0.42,0.33,0.41,0.59,0.75,0.83,0.44,0.48,0.6,0.73,1.0,0.0,0.14,0.36,11.0,18.0,7.0,4.0,2.0,11.0,2.0,3.0,6.0,10.0,5.0,8.0,3.0,1.0,0.0,1.0,17.0,42.0,7.0,12.0,14.0,16.0,22.0,16.0,16.0,14.0,5.0,1.0,,,1.0,4.0,3.0,5.0,0.7,0.46,46.0,46.0,26.0,25.0,16.0,8.0,0.0,1.0,0.0,1.0,1.18,0.71,1.07,0.56,0.59,0.44,0.4,0.6,5.0,8.0,4.0,3.0,0.0,3.0,3.0,1.0,2.0,8.0,1.0,0.0,5.0,6.0,0.0,4.0,2.0,2.0,0.22,0.46,0.26,0.02,0.27,1.29,0.42,0.58,6.0,10.0,3.0,1.0,2.0,8.0,0.0,0.0,5.0,4.0,4.0,1.0,,,11.0,8.0,1.0,0.0,1.0,3.0
4ts9tvn1,BRAZIL,2026,Serie A Betano 2026,BRAZIL 1,19/02/2026,19:30,Round 2,Athletico-PR,Corinthians,0,1,[],[20],bet365,3.4,2.0,3.6,bet365,2.57,3.0,2.85,bet365,1.5,2.5,bet365,3.5,1.29,bet365,11.0,1.05,bet365,1.1,7.0,bet365,1.44,2.75,bet365,2.4,1.53,bet365,4.5,1.2,bet365,10.0,1.06,bet365,2.0,1.75,bet365,1.4,1.36,1.44,bet365,7.0,bet365,7.5,bet365,13.0,bet365,29.0,bet365,7.0,bet365,5.5,bet365,11.0,bet365,26.0,bet365,12.0,bet365,11.0,bet365,17.0,bet365,41.0,bet365,26.0,bet365,23.0,bet365,41.0,bet365,51.0,Estrelabet,12.0,1.03,1xBet,10.5,1.01,bet365,5.75,1.14,bet365,4.5,1.19,bet365,2.6,1.48,bet365,1.43,2.75,bet365,1.15,5.5,bet365,1.12,6.4,Betboom.br,1.01,13.45,Betboom.br,1.01,14.28,Betano.br,30.0,13.0,1.03,Betano.br,15.5,7.5,1.13,bet365,6.0,4.33,1.44,Betano.br,1.44,4.25,6.7,Betano.br,1.12,7.9,16.5,Betano.br,1.03,13.0,30.0,2.05,0.15,0.32,0.13,0.52,0.08,0.13,0.32,-0.87,0.32,0.56,0.44,0.85,0.75,0.64,0.29,0.67,0.42,1.0,0.0,0.11,0.0,19.0,4.0,5.0,1.0,12.0,0.0,2.0,3.0,11.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,35.0,3.0,8.0,0.0,10.0,15.0,19.0,17.0,15.0,10.0,3.0,4.0,,,3.0,1.0,0.0,4.0,0.7,0.71,36.0,43.0,8.0,32.0,11.0,2.0,1.0,3.0,0.0,0.0,1.59,0.11,0.04,0.13,0.1,0.03,0.5,0.5,7.0,3.0,2.0,1.0,5.0,0.0,4.0,0.0,5.0,0.0,2.0,2.0,8.0,4.0,1.0,1.0,0.0,1.0,0.46,0.04,0.28,0.0,0.42,0.05,0.61,0.39,12.0,1.0,3.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,,,7.0,6.0,2.0,0.0,0.0,3.0
WUwqa7JP,BRAZIL,2026,Serie A Betano 2026,BRAZIL 1,12/02/2026,21:30,Round 3,Internacional,Palmeiras,1,3,[36],"[23, 52, 82]",bet365,3.5,2.2,2.88,bet365,3.1,3.4,2.25,bet365,1.36,3.0,bet365,2.63,1.44,bet365,7.0,1.1,bet365,1.05,11.0,bet365,1.25,4.0,bet365,1.85,1.95,bet365,3.2,1.36,bet365,6.0,1.13,bet365,1.67,2.1,bet365,1.57,1.3,1.36,bet365,11.0,bet365,9.0,bet365,12.0,bet365,21.0,bet365,11.0,bet365,6.5,bet365,9.5,bet365,17.0,bet365,17.0,bet365,11.0,bet365,13.0,bet365,26.0,bet365,34.0,bet365,23.0,bet365,29.0,bet365,41.0,Betboom.br,14.41,1.01,Betboom.br,13.54,1.01,bet365,6.4,1.12,bet365,5.5,1.15,bet365,3.0,1.38,bet365,1.63,2.25,bet365,1.27,3.55,bet365,1.2,4.4,1xBet,1.09,7.91,Estrelabet,1.05,9.0,BetEsporte,28.0,11.0,1.02,Betano.br,16.0,8.25,1.12,Betano.br,6.8,4.65,1.4,bet365,1.57,4.0,4.33,Betano.br,1.21,6.4,10.0,Betano.br,1.06,11.0,21.0,2.15,0.91,1.19,2.29,1.22,0.27,2.29,1.19,-0.71,0.19,0.62,0.38,0.87,0.8,0.63,0.54,0.81,0.59,0.0,0.0,0.27,0.5,26.0,11.0,4.0,7.0,9.0,3.0,13.0,1.0,18.0,7.0,8.0,4.0,1.0,1.0,1.0,0.0,45.0,13.0,16.0,4.0,8.0,13.0,20.0,20.0,13.0,8.0,1.0,1.0,,,1.0,3.0,4.0,3.0,0.7,0.53,51.0,51.0,10.0,42.0,8.0,12.0,0.0,0.0,1.0,0.0,0.6,0.31,0.86,0.87,0.55,0.12,0.52,0.48,10.0,7.0,2.0,4.0,4.0,2.0,0.0,0.0,7.0,4.0,,,9.0,3.0,1.0,1.0,3.0,1.0,1.55,0.6,0.33,1.42,0.67,0.15,0.71,0.29,16.0,4.0,2.0,3.0,5.0,1.0,1.0,1.0,9.0,0.0,1.0,1.0,,,4.0,5.0,0.0,2.0,1.0,2.0
ttBjgHV6,BRAZIL,2026,Serie A Betano 2026,BRAZIL 1,12/02/2026,20:00,Round 3,Corinthians,Bragantino,2,0,"[47, 74]",[],bet365,2.6,2.05,4.75,bet365,1.86,3.2,4.75,bet365,1.44,2.63,bet365,3.25,1.33,bet365,10.0,1.06,bet365,1.08,7.5,bet365,1.4,3.0,bet365,2.25,1.62,bet365,4.33,1.22,bet365,9.0,1.07,bet365,2.0,1.75,bet365,1.18,1.36,1.83,bet365,7.5,bet365,11.0,bet365,21.0,bet365,51.0,bet365,6.0,bet365,6.0,bet365,15.0,bet365,41.0,bet365,8.0,bet365,9.0,bet365,17.0,bet365,41.0,bet365,15.0,bet365,17.0,bet365,34.0,bet365,51.0,Estrelabet,7.0,1.1,bet365,7.0,1.1,bet365,3.55,1.27,bet365,2.68,1.45,bet365,1.93,1.93,bet365,1.21,4.25,1xBet,1.06,10.0,Estrelabet,1.04,11.0,,0.0,0.0,,0.0,0.0,Betano.br,19.0,9.75,1.08,Betano.br,8.5,5.5,1.28,bet365,3.6,3.6,1.83,Betano.br,1.22,5.7,12.0,Betano.br,1.05,11.0,28.0,BetEsporte,1.01,11.0,40.0,0.99,1.27,1.72,1.03,0.48,0.26,1.03,1.72,1.03,-0.28,0.6,0.4,0.83,0.79,0.6,0.45,0.65,0.58,0.0,0.0,0.3,0.1,13.0,9.0,5.0,4.0,7.0,3.0,1.0,2.0,9.0,3.0,4.0,6.0,2.0,1.0,0.0,0.0,17.0,10.0,3.0,3.0,24.0,17.0,27.0,22.0,17.0,24.0,4.0,4.0,,,4.0,1.0,4.0,3.0,0.7,0.57,49.0,40.0,13.0,16.0,9.0,8.0,2.0,0.0,0.0,0.0,0.09,0.25,0.13,0.25,0.1,0.1,0.67,0.33,2.0,7.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,3.0,7.0,10.0,2.0,1.0,3.0,1.0,0.9,1.02,1.59,0.78,0.38,0.16,0.52,0.48,11.0,2.0,4.0,1.0,6.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,,,10.0,14.0,2.0,0.0,1.0,2.0
